Scenario,Avg_Throughput_Mbps,Std_Throughput_Mbps,Avg_Jitter_ms,Std_Jitter_ms,Avg_Lost_Packets,Avg_Lost_Percent,Avg_RTT_ms,Std_RTT_ms,Avg_RTT_95p_ms,Std_RTT_95p_ms,Avg_Ping_Loss_Pct
Baseline (UE1),149.99956384008965,1.5416663501269012e-05,0.006054961172079367,0.004802933958928241,0.0,0.0,0.023799999999999998,0.0008366600265340763,0.06000999999999999,0.00579012089683799,0.0
Competing (UE1-High),149.99957518543175,3.756727643033896e-05,0.003506964499318796,0.0016671400615860931,0.0,0.0,0.0258,0.0008366600265340756,0.0684,0.0037815340802378095,0.0
Competing (UE2-Medium),39.99992616002264,5.202893659776529e-06,0.006554338659464391,0.0011799114380650728,0.0,0.0,0.0274,0.0008944271909999167,0.07001999999999999,0.0024496428311082358,0.0
High-Only (UE1),149.9995688400742,1.4913874548067356e-05,0.001971273206691139,0.00039194376027409483,0.0,0.0,0.023799999999999998,0.0010954451150103329,0.057249999999999954,0.012023986443771492,0.0
Medium-Only (UE2),39.999929413348944,3.3287902638809525e-06,0.006730916170399606,0.0018450424196774981,0.0,0.0,0.0226,0.0005477225575051667,0.0364,0.0019493588689617912,0.0
